task_id,vehicle_id,size_MB,deadline_s,dwell_s,priority_literal,priority_normalized,rank_literal,rank_normalized,rank_diff
0,v_0,3.1236203565420873,29.50714306409916,18.361096041714063,74102.1463091824,0.5805055187182093,385,369,16
1,v_1,2.4680559213273097,21.559945203362027,26.11910822747312,80132.17815088238,0.6092588087319399,346,326,20
2,v_2,3.803345035229626,27.080725777960453,29.127385712697837,98311.59609682899,0.6831204357303564,247,228,19
3,v_3,4.497327922401265,22.123391106782762,6.3187307857495805,142298.94486023745,0.8252831926516384,36,51,15
4,v_4,2.912726728878613,25.24756431632238,9.445645065743216,80756.91967936061,0.592889371890805,344,351,7
5,v_5,3.8355586841671383,21.39493860652042,11.62449345551706,125492.15577144381,0.777238839627407,106,105,1
6,v_6,3.3682099526511076,27.851759613930135,15.912798713994736,84653.71115298162,0.6203411293236827,320,311,9
7,v_7,3.7772437065861273,20.464504127199977,5.945199586931454,129203.02231838532,0.7703657659572103,88,115,27
8,v_8,2.1951547789558385,29.488855372533333,24.443523095377373,52108.3920652249,0.49640688964260204,490,473,17
9,v_9,2.913841307520112,20.976721140063837,13.764422318448437,97236.11014703532,0.6679209005398247,254,249,5
10,v_0,2.3661147045343363,24.951769101112703,27.37029166028468,66379.56224417198,0.5547541177924886,430,402,28
11,v_1,2.7763399448000508,26.62522284353982,16.081972614156513,72992.64606331957,0.5738831713435961,392,379,13
12,v_2,3.640130838029839,21.84854455525527,23.478851877472323,116625.51990284109,0.7539917568089733,151,132,19
13,v_3,4.818496824692568,28.948273504276486,27.734352815670388,116516.66043971968,0.755441260634476,152,129,23
14,v_4,2.265477506155759,21.959828624191452,10.434579592134666,72215.5107559752,0.5614450762481846,395,392,3
15,v_5,3.166031869068446,22.71349031773896,11.345846474114088,97573.22703476621,0.66498216775264,253,256,3
16,v_6,2.842803529062142,25.426960831582484,24.26371244186715,78262.19592739631,0.600934811815631,360,341,19
17,v_7,2.2236519310393126,29.86886936600517,6.7627547644909995,52113.25750636748,0.46721529348936797,489,489,0
18,v_8,2.016566351370807,28.15461428454834,22.14120787318863,50137.59041717552,0.4873012403611082,496,481,15
19,v_9,4.313811040057837,20.740446517340903,4.360202726228762,145593.42646933344,0.8208885005083588,31,54,23
20,v_0,4.5893102776267805,26.23298126827558,2.8431921582946855,122461.21391199538,0.7008876919831308,124,209,85
21,v_1,2.9329469651469866,23.25183322026747,19.48916666930118,88297.10254722643,0.638182350366546,302,286,16
22,v_2,4.66163822772898,24.72214925161949,21.684098829466855,131993.12926147148,0.8144505135702427,74,63,11
23,v_3,4.282355145850692,25.61277197569496,15.320072294567332,117037.53905423394,0.7491922986716234,149,141,8
24,v_4,3.568198488145982,24.275410183585496,4.128851382805829,102891.9651181339,0.6470371183139827,228,274,46
25,v_5,2.094287557060203,26.364104112637804,15.74855004377638,55606.24045114953,0.503966660085339,481,465,16
26,v_6,4.7226994217782785,22.49292229148875,22.91098301774841,146974.94670053094,0.8750861304031908,27,22,5
27,v_7,2.6863944964748674,20.76979909828793,5.675417330366129,90539.21816838426,0.6136913276959715,293,320,27
28,v_8,4.789092957027719,28.08120379564417,26.272357115443814,119381.39134090205,0.7663201497282651,140,118,22
29,v_9,4.411016230697343,21.86570058886036,16.64092501555387,141212.83359154058,0.8473533431651663,40,32,8
30,v_0,4.422320465492187,28.96091299923493,4.191505811302626,106889.97166946568,0.6638831743765752,206,259,53
31,v_1,2.683805487625825,24.271077886262564,25.96118691443396,77403.68418446719,0.5982775972574974,368,344,24
32,v_2,2.020856391593572,25.107473025775658,7.441126503651177,56342.03241919281,0.48764225075407563,477,480,3
33,v_3,2.3595961020010487,23.37615171403628,10.372885028601901,70658.4924646007,0.5550616759131584,405,401,4
34,v_4,3.556371865230098,27.030189588951778,29.181680398907858,92099.5442281703,0.6582907451750751,277,261,16
35,v_5,4.887341884826334,22.517822958253642,9.72547098468632,151930.5583395743,0.878407208374248,17,18,1
36,v_6,2.854521483132403,20.368869473545328,15.577691673636982,98099.24755540978,0.6737426758604275,250,239,11
37,v_7,2.154436253749968,22.786464642366113,7.9472948293422006,66184.52792002787,0.5292667436668029,431,436,5
38,v_8,2.4346846162736697,24.894527602775632,8.019602873833513,68460.25967645599,0.5386699555948762,418,421,3
39,v_9,4.016406642217635,27.616196153287177,22.11827410974393,101805.93129394624,0.6939611756814635,231,216,15
40,v_0,3.10334939815776,26.323058305935795,16.537465838167996,82526.5813346637,0.6125021493005832,335,322,13
41,v_1,2.270869310163225,28.35302495589238,6.409036801595772,56065.12168202328,0.4809195978615082,479,487,8
42,v_2,2.1223254246642917,25.90892943188242,1.4810470389078283,57340.53033324748,0.38207819560429357,471,500,29
43,v_3,3.536279174897843,22.26495775197938,6.0566264411447515,111179.24017123686,0.699056478386966,183,211,28
44,v_4,4.072813214307398,23.867353463005372,4.988107380233805,119450.82700184592,0.7233044590245769,139,175,36
45,v_5,3.0231990531507753,21.13473521240589,26.44284124804845,100131.15475810801,0.6893900826517452,239,223,16
46,v_6,2.773824883145467,26.599840460341788,17.100823536384407,72996.11243116995,0.5749433783912488,391,377,14
47,v_7,3.5889517350680196,22.418522909004515,27.019256980646475,112062.36494413465,0.7373480678713453,179,150,29
48,v_8,4.701254171489992,26.33101457273268,11.127077663767166,124981.32691794976,0.7741389771618205,109,108,1
49,v_9,4.177867036610718,28.97110259952577,23.616390829871094,100945.94248089999,0.691344767139844,234,220,14
50,v_0,3.9260949384628634,20.84139964995049,27.0580714672853,131866.02285102094,0.8165780485359437,76,59,17
51,v_1,3.81928717897877,20.091970516166295,20.24155130413362,133063.4424422519,0.817791777335942,70,56,14
52,v_2,2.015184751538656,21.608080514174986,21.064960733088103,65282.77729394352,0.5472210603657572,437,413,24
53,v_3,3.955883778507802,22.2426930946056,7.880223537407202,124495.91920960663,0.7622291572658558,116,121,5
54,v_4,2.9761990944778036,27.46491405118024,25.62747890433116,75854.86291378883,0.5919375622981017,377,352,25
55,v_5,3.97283867690103,25.683086033354716,11.663758288723573,108281.1521202572,0.7084745534723478,203,191,12
56,v_6,2.7956071030451763,22.439896433790835,12.399834015336051,87207.67443296532,0.6255855858026724,307,302,5
57,v_7,4.67613966553134,26.31138625997263,15.57647570005057,124406.4123462442,0.7789699251150107,117,102,15
58,v_8,3.730711653879077,24.92517693818864,21.951111342583655,104773.7919269973,0.7057339126888871,219,196,23
59,v_9,2.8423170873225674,20.24315966431454,6.136209702804419,98286.39173983393,0.6480303020157727,248,270,22
60,v_0,4.821375753058743,29.539285770025874,11.734602307407888,114253.64821955573,0.7325070965599099,165,158,7
61,v_1,2.0463698495866023,29.283185625877252,29.032989752266417,48917.74414621415,0.48551267264186815,500,483,17
